"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","ratecodeid","store_and_fwd_flag","pulocationid","dolocationid","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge","airport_fee"
"1","2022-01-01T00:35:40.000","2022-01-01T00:53:29.000","2.0","3.8","1.0","N","142","236","1","14.5","3.0","0.5","3.65","0.0","0.3","21.95","2.5","0.0"
"1","2022-01-01T00:33:43.000","2022-01-01T00:42:07.000","1.0","2.1","1.0","N","236","42","1","8.0","0.5","0.5","4.0","0.0","0.3","13.3","0.0","0.0"
"2","2022-01-01T00:53:21.000","2022-01-01T01:02:19.000","1.0","0.97","1.0","N","166","166","1","7.5","0.5","0.5","1.76","0.0","0.3","10.56","0.0","0.0"
"2","2022-01-01T00:25:21.000","2022-01-01T00:35:23.000","1.0","1.09","1.0","N","114","68","2","8.0","0.5","0.5","0.0","0.0","0.3","11.8","2.5","0.0"
"2","2022-01-01T00:36:48.000","2022-01-01T01:14:20.000","1.0","4.3","1.0","N","68","163","1","23.5","0.5","0.5","3.0","0.0","0.3","30.3","2.5","0.0"
"1","2022-01-01T00:40:15.000","2022-01-01T01:09:48.000","1.0","10.3","1.0","N","138","161","1","33.0","3.0","0.5","13.0","6.55","0.3","56.35","2.5","0.0"
"2","2022-01-01T00:20:50.000","2022-01-01T00:34:58.000","1.0","5.07","1.0","N","233","87","1","17.0","0.5","0.5","5.2","0.0","0.3","26.0","2.5","0.0"
"2","2022-01-01T00:13:04.000","2022-01-01T00:22:45.000","1.0","2.02","1.0","N","238","152","2","9.0","0.5","0.5","0.0","0.0","0.3","12.8","2.5","0.0"
"2","2022-01-01T00:30:02.000","2022-01-01T00:44:49.000","1.0","2.71","1.0","N","166","236","1","12.0","0.5","0.5","2.25","0.0","0.3","18.05","2.5","0.0"
"2","2022-01-01T00:48:52.000","2022-01-01T00:53:28.000","1.0","0.78","1.0","N","236","141","2","5.0","0.5","0.5","0.0","0.0","0.3","8.8","2.5","0.0"
"2","2022-01-01T00:55:03.000","2022-01-01T01:04:25.000","1.0","1.91","1.0","N","141","229","2","8.5","0.5","0.5","0.0","0.0","0.3","12.3","2.5","0.0"
"2","2022-01-01T00:31:06.000","2022-01-01T00:34:14.000","3.0","0.82","1.0","N","114","90","2","4.5","0.5","0.5","0.0","0.0","0.3","8.3","2.5","0.0"
"2","2022-01-01T00:41:07.000","2022-01-01T00:44:46.000","3.0","0.73","1.0","N","234","113","2","4.5","0.5","0.5","0.0","0.0","0.3","8.3","2.5","0.0"
"2","2022-01-01T00:56:34.000","2022-01-01T01:12:04.000","2.0","2.16","1.0","N","246","79","1","11.5","0.5","0.5","3.06","0.0","0.3","18.36","2.5","0.0"
"2","2022-01-01T00:39:46.000","2022-01-01T00:47:36.000","4.0","1.43","1.0","N","43","140","1","7.5","0.5","0.5","2.26","0.0","0.3","13.56","2.5","0.0"
"2","2022-01-01T00:58:06.000","2022-01-01T01:05:45.000","1.0","1.58","1.0","N","239","151","2","8.0","0.5","0.5","0.0","0.0","0.3","11.8","2.5","0.0"
"1","2022-01-01T00:33:52.000","2022-01-01T00:47:28.000","3.0","4.2","1.0","N","148","141","1","14.0","2.5","0.5","3.45","0.0","0.3","20.75","2.5","0.0"
"1","2022-01-01T00:53:54.000","2022-01-01T01:05:20.000","2.0","2.2","1.0","N","237","107","1","9.5","2.5","0.5","2.55","0.0","0.3","15.35","2.5","0.0"
"1","2022-01-01T00:00:44.000","2022-01-01T00:05:29.000","1.0","0.2","1.0","N","7","7","2","5.0","0.5","0.5","0.0","0.0","0.3","6.3","0.0","0.0"
"1","2022-01-01T00:35:50.000","2022-01-01T00:48:33.000","2.0","3.9","1.0","N","107","263","1","13.0","3.0","0.5","3.35","0.0","0.3","20.15","2.5","0.0"
"1","2022-01-01T00:49:14.000","2022-01-01T00:58:29.000","2.0","3.2","1.0","N","263","107","1","11.0","3.0","0.5","2.95","0.0","0.3","17.75","2.5","0.0"
"1","2022-01-01T00:06:10.000","2022-01-01T00:08:58.000","1.0","0.0","1.0","N","161","161","4","2.5","3.0","0.5","0.0","0.0","0.3","6.3","2.5","0.0"
"1","2022-01-01T00:09:01.000","2022-01-01T00:17:15.000","1.0","1.2","1.0","N","161","43","1","7.0","3.0","0.5","2.15","0.0","0.3","12.95","2.5","0.0"
"1","2022-01-01T00:30:06.000","2022-01-01T00:38:11.000","1.0","1.7","1.0","N","239","24","1","7.0","3.0","0.5","3.25","0.0","0.3","14.05","2.5","0.0"
"1","2022-01-01T00:46:41.000","2022-01-01T00:57:53.000","1.0","1.6","1.0","N","239","263","1","8.0","3.0","0.5","2.35","0.0","0.3","14.15","2.5","0.0"
"2","2022-01-01T00:14:00.000","2022-01-01T00:35:24.000","5.0","2.48","1.0","N","246","233","1","14.0","0.5","0.5","5.34","0.0","0.3","23.14","2.5","0.0"
"2","2022-01-01T00:46:09.000","2022-01-01T01:08:06.000","6.0","5.95","1.0","N","79","238","1","20.0","0.5","0.5","4.76","0.0","0.3","28.56","2.5","0.0"
"1","2022-01-01T00:52:53.000","2022-01-01T01:05:26.000","2.0","4.0","1.0","N","170","238","2","13.0","3.0","0.5","0.0","0.0","0.3","16.8","2.5","0.0"
"2","2022-01-01T18:04:06.000","2022-01-01T18:40:52.000","1.0","9.7","1.0","N","138","48","1","34.5","0.5","0.5","9.22","6.55","0.3","55.32","2.5","1.25"
"1","2022-01-01T00:23:54.000","2022-01-01T00:28:42.000","2.0","0.8","1.0","N","237","237","4","5.5","3.0","0.5","0.0","0.0","0.3","9.3","2.5","0.0"
"1","2022-01-01T00:59:06.000","2022-01-01T01:12:57.000","2.0","3.8","1.0","Y","233","238","2","13.5","3.0","0.5","0.0","0.0","0.3","17.3","2.5","0.0"
